Statistics,Year,State of Residence Name,State of Residence Code,Organ,Counts
Deceased Organ Donors,2017,New Jersey,NJ,Liver,202.0
Deceased Organ Donors,2017,New Jersey,NJ,Lung,49.0
Deceased Organ Donors,2017,New Jersey,NJ,Pancreas,37.0
Deceased Organ Donors,2017,New Mexico,NM,All,73.0
Deceased Organ Donors,2017,New Mexico,NM,Heart,23.0
Deceased Organ Donors,2017,New Mexico,NM,Kidney,70.0
Deceased Organ Donors,2017,New Mexico,NM,Liver,57.0
Deceased Organ Donors,2017,New Mexico,NM,Lung,
Deceased Organ Donors,2017,New Mexico,NM,Pancreas,
Deceased Organ Donors,2017,New York,NY,All,444.0
Deceased Organ Donors,2017,New York,NY,Heart,128.0
Deceased Organ Donors,2017,New York,NY,Kidney,397.0
Deceased Organ Donors,2017,New York,NY,Liver,341.0
Deceased Organ Donors,2017,New York,NY,Lung,62.0
Deceased Organ Donors,2017,New York,NY,Pancreas,44.0
Deceased Organ Donors,2017,North Carolina,NC,All,308.0
Deceased Organ Donors,2017,North Carolina,NC,Heart,105.0
Deceased Organ Donors,2017,North Carolina,NC,Kidney,281.0
Deceased Organ Donors,2017,North Carolina,NC,Liver,250.0
Deceased Organ Donors,2017,North Carolina,NC,Lung,84.0
Deceased Organ Donors,2017,North Carolina,NC,Pancreas,49.0
Deceased Organ Donors,2017,North Dakota,ND,All,18.0
Deceased Organ Donors,2017,North Dakota,ND,Heart,
Deceased Organ Donors,2017,North Dakota,ND,Kidney,18.0
Deceased Organ Donors,2017,North Dakota,ND,Liver,
Deceased Organ Donors,2017,North Dakota,ND,Lung,
Deceased Organ Donors,2017,North Dakota,ND,Pancreas,
Deceased Organ Donors,2017,Not Reported,NR,All,54.0
Deceased Organ Donors,2017,Not Reported,NR,Heart,19.0
Deceased Organ Donors,2017,Not Reported,NR,Kidney,50.0
Deceased Organ Donors,2017,Not Reported,NR,Liver,39.0
Deceased Organ Donors,2017,Not Reported,NR,Lung,
Deceased Organ Donors,2017,Not Reported,NR,Pancreas,
Deceased Organ Donors,2017,Ohio,OH,All,404.0
Deceased Organ Donors,2017,Ohio,OH,Heart,113.0
Deceased Organ Donors,2017,Ohio,OH,Kidney,348.0
Deceased Organ Donors,2017,Ohio,OH,Liver,357.0
Deceased Organ Donors,2017,Ohio,OH,Lung,99.0
Deceased Organ Donors,2017,Ohio,OH,Pancreas,51.0
Deceased Organ Donors,2017,Oklahoma,OK,All,189.0
Deceased Organ Donors,2017,Oklahoma,OK,Heart,42.0
Deceased Organ Donors,2017,Oklahoma,OK,Kidney,184.0
Deceased Organ Donors,2017,Oklahoma,OK,Liver,140.0
Deceased Organ Donors,2017,Oklahoma,OK,Lung,34.0
Deceased Organ Donors,2017,Oklahoma,OK,Pancreas,23.0
Deceased Organ Donors,2017,Oregon,OR,All,85.0
Deceased Organ Donors,2017,Oregon,OR,Heart,21.0
Deceased Organ Donors,2017,Oregon,OR,Kidney,81.0
Deceased Organ Donors,2017,Oregon,OR,Liver,53.0
Deceased Organ Donors,2017,Oregon,OR,Lung,
Deceased Organ Donors,2017,Oregon,OR,Pancreas,
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,All,0.0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Heart,0.0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Kidney,0.0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Liver,0.0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Lung,0.0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Pancreas,0.0
Deceased Organ Donors,2017,Pennsylvania,PA,All,595.0
Deceased Organ Donors,2017,Pennsylvania,PA,Heart,164.0
Deceased Organ Donors,2017,Pennsylvania,PA,Kidney,532.0
Deceased Organ Donors,2017,Pennsylvania,PA,Liver,494.0
Deceased Organ Donors,2017,Pennsylvania,PA,Lung,136.0
Deceased Organ Donors,2017,Pennsylvania,PA,Pancreas,75.0
Deceased Organ Donors,2017,Puerto Rico,PR,All,85.0
Deceased Organ Donors,2017,Puerto Rico,PR,Heart,
Deceased Organ Donors,2017,Puerto Rico,PR,Kidney,67.0
Deceased Organ Donors,2017,Puerto Rico,PR,Liver,71.0
Deceased Organ Donors,2017,Puerto Rico,PR,Lung,
Deceased Organ Donors,2017,Puerto Rico,PR,Pancreas,
Deceased Organ Donors,2017,Rhode Island,RI,All,17.0
Deceased Organ Donors,2017,Rhode Island,RI,Heart,
Deceased Organ Donors,2017,Rhode Island,RI,Kidney,
Deceased Organ Donors,2017,Rhode Island,RI,Liver,
Deceased Organ Donors,2017,Rhode Island,RI,Lung,0.0
Deceased Organ Donors,2017,Rhode Island,RI,Pancreas,
Deceased Organ Donors,2017,South Carolina,SC,All,176.0
Deceased Organ Donors,2017,South Carolina,SC,Heart,65.0
Deceased Organ Donors,2017,South Carolina,SC,Kidney,161.0
Deceased Organ Donors,2017,South Carolina,SC,Liver,145.0
Deceased Organ Donors,2017,South Carolina,SC,Lung,51.0
Deceased Organ Donors,2017,South Carolina,SC,Pancreas,18.0
Deceased Organ Donors,2017,South Dakota,SD,All,24.0
Deceased Organ Donors,2017,South Dakota,SD,Heart,
Deceased Organ Donors,2017,South Dakota,SD,Kidney,23.0
Deceased Organ Donors,2017,South Dakota,SD,Liver,23.0
Deceased Organ Donors,2017,South Dakota,SD,Lung,
Deceased Organ Donors,2017,South Dakota,SD,Pancreas,
Deceased Organ Donors,2017,Tennessee,TN,All,281.0
Deceased Organ Donors,2017,Tennessee,TN,Heart,103.0
Deceased Organ Donors,2017,Tennessee,TN,Kidney,259.0
Deceased Organ Donors,2017,Tennessee,TN,Liver,239.0
Deceased Organ Donors,2017,Tennessee,TN,Lung,68.0
Deceased Organ Donors,2017,Tennessee,TN,Pancreas,36.0
Deceased Organ Donors,2017,Texas,TX,All,897.0
Deceased Organ Donors,2017,Texas,TX,Heart,310.0
Deceased Organ Donors,2017,Texas,TX,Kidney,809.0
Deceased Organ Donors,2017,Texas,TX,Liver,731.0
Deceased Organ Donors,2017,Texas,TX,Lung,279.0
Deceased Organ Donors,2017,Texas,TX,Pancreas,116.0
Deceased Organ Donors,2017,Utah,UT,All,82.0
Deceased Organ Donors,2017,Utah,UT,Heart,32.0
Deceased Organ Donors,2017,Utah,UT,Kidney,78.0
Deceased Organ Donors,2017,Utah,UT,Liver,64.0
Deceased Organ Donors,2017,Utah,UT,Lung,22.0
Deceased Organ Donors,2017,Utah,UT,Pancreas,
Deceased Organ Donors,2017,Vermont,VT,All,24.0
Deceased Organ Donors,2017,Vermont,VT,Heart,
Deceased Organ Donors,2017,Vermont,VT,Kidney,23.0
Deceased Organ Donors,2017,Vermont,VT,Liver,17.0
Deceased Organ Donors,2017,Vermont,VT,Lung,
Deceased Organ Donors,2017,Vermont,VT,Pancreas,
Deceased Organ Donors,2017,Virgin Islands,VI,All,0.0
Deceased Organ Donors,2017,Virgin Islands,VI,Heart,0.0
Deceased Organ Donors,2017,Virgin Islands,VI,Kidney,0.0
Deceased Organ Donors,2017,Virgin Islands,VI,Liver,0.0
Deceased Organ Donors,2017,Virgin Islands,VI,Lung,0.0
Deceased Organ Donors,2017,Virgin Islands,VI,Pancreas,0.0
Deceased Organ Donors,2017,Virginia,VA,All,212.0
Deceased Organ Donors,2017,Virginia,VA,Heart,64.0
Deceased Organ Donors,2017,Virginia,VA,Kidney,201.0
Deceased Organ Donors,2017,Virginia,VA,Liver,171.0
Deceased Organ Donors,2017,Virginia,VA,Lung,55.0
Deceased Organ Donors,2017,Virginia,VA,Pancreas,32.0
Deceased Organ Donors,2017,Washington,WA,All,195.0
Deceased Organ Donors,2017,Washington,WA,Heart,69.0
Deceased Organ Donors,2017,Washington,WA,Kidney,188.0
Deceased Organ Donors,2017,Washington,WA,Liver,135.0
Deceased Organ Donors,2017,Washington,WA,Lung,28.0
Deceased Organ Donors,2017,Washington,WA,Pancreas,
Deceased Organ Donors,2017,West Virginia,WV,All,54.0
Deceased Organ Donors,2017,West Virginia,WV,Heart,
Deceased Organ Donors,2017,West Virginia,WV,Kidney,50.0
Deceased Organ Donors,2017,West Virginia,WV,Liver,46.0
Deceased Organ Donors,2017,West Virginia,WV,Lung,
Deceased Organ Donors,2017,West Virginia,WV,Pancreas,
Deceased Organ Donors,2017,Wisconsin,WI,All,233.0
Deceased Organ Donors,2017,Wisconsin,WI,Heart,74.0
Deceased Organ Donors,2017,Wisconsin,WI,Kidney,209.0
Deceased Organ Donors,2017,Wisconsin,WI,Liver,193.0
Deceased Organ Donors,2017,Wisconsin,WI,Lung,58.0
Deceased Organ Donors,2017,Wisconsin,WI,Pancreas,44.0
Deceased Organ Donors,2017,Wyoming,WY,All,
Deceased Organ Donors,2017,Wyoming,WY,Heart,
Deceased Organ Donors,2017,Wyoming,WY,Kidney,
Deceased Organ Donors,2017,Wyoming,WY,Liver,
Deceased Organ Donors,2017,Wyoming,WY,Lung,
Deceased Organ Donors,2017,Wyoming,WY,Pancreas,
Deceased Organ Donors,2018,Alabama,AL,All,177.0
Deceased Organ Donors,2018,Alabama,AL,Heart,63.0
Deceased Organ Donors,2018,Alabama,AL,Kidney,162.0
Deceased Organ Donors,2018,Alabama,AL,Liver,155.0
Deceased Organ Donors,2018,Alabama,AL,Lung,38.0
Deceased Organ Donors,2018,Alabama,AL,Pancreas,19.0
Deceased Organ Donors,2018,Alaska,AK,All,31.0
Deceased Organ Donors,2018,Alaska,AK,Heart,
Deceased Organ Donors,2018,Alaska,AK,Kidney,30.0
Deceased Organ Donors,2018,Alaska,AK,Liver,25.0
Deceased Organ Donors,2018,Alaska,AK,Lung,
Deceased Organ Donors,2018,Alaska,AK,Pancreas,
Deceased Organ Donors,2018,All,All,All,10721.0
Deceased Organ Donors,2018,All,All,Heart,3466.0
Deceased Organ Donors,2018,All,All,Kidney,9867.0
Deceased Organ Donors,2018,All,All,Liver,8473.0
Deceased Organ Donors,2018,All,All,Lung,2543.0
Deceased Organ Donors,2018,All,All,Pancreas,1312.0
Deceased Organ Donors,2018,Arizona,AZ,All,277.0
Deceased Organ Donors,2018,Arizona,AZ,Heart,103.0
Deceased Organ Donors,2018,Arizona,AZ,Kidney,261.0
Deceased Organ Donors,2018,Arizona,AZ,Liver,218.0
Deceased Organ Donors,2018,Arizona,AZ,Lung,75.0
Deceased Organ Donors,2018,Arizona,AZ,Pancreas,41.0
Deceased Organ Donors,2018,Arkansas,AR,All,78.0
Deceased Organ Donors,2018,Arkansas,AR,Heart,31.0
Deceased Organ Donors,2018,Arkansas,AR,Kidney,72.0
Deceased Organ Donors,2018,Arkansas,AR,Liver,68.0
Deceased Organ Donors,2018,Arkansas,AR,Lung,
Deceased Organ Donors,2018,Arkansas,AR,Pancreas,
Deceased Organ Donors,2018,California,CA,All,1015.0
Deceased Organ Donors,2018,California,CA,Heart,342.0
Deceased Organ Donors,2018,California,CA,Kidney,966.0
Deceased Organ Donors,2018,California,CA,Liver,835.0
Deceased Organ Donors,2018,California,CA,Lung,239.0
Deceased Organ Donors,2018,California,CA,Pancreas,109.0
Deceased Organ Donors,2018,Colorado,CO,All,138.0
Deceased Organ Donors,2018,Colorado,CO,Heart,54.0
Deceased Organ Donors,2018,Colorado,CO,Kidney,136.0
Deceased Organ Donors,2018,Colorado,CO,Liver,95.0
Deceased Organ Donors,2018,Colorado,CO,Lung,23.0
Deceased Organ Donors,2018,Colorado,CO,Pancreas,
Deceased Organ Donors,2018,Connecticut,CT,All,96.0
Deceased Organ Donors,2018,Connecticut,CT,Heart,30.0
Deceased Organ Donors,2018,Connecticut,CT,Kidney,83.0
Deceased Organ Donors,2018,Connecticut,CT,Liver,67.0
Deceased Organ Donors,2018,Connecticut,CT,Lung,21.0
Deceased Organ Donors,2018,Connecticut,CT,Pancreas,
Deceased Organ Donors,2018,Delaware,DE,All,72.0
Deceased Organ Donors,2018,Delaware,DE,Heart,19.0
Deceased Organ Donors,2018,Delaware,DE,Kidney,69.0
Deceased Organ Donors,2018,Delaware,DE,Liver,53.0
Deceased Organ Donors,2018,Delaware,DE,Lung,18.0
Deceased Organ Donors,2018,Delaware,DE,Pancreas,
Deceased Organ Donors,2018,District of Columbia,DC,All,26.0
Deceased Organ Donors,2018,District of Columbia,DC,Heart,
Deceased Organ Donors,2018,District of Columbia,DC,Kidney,22.0
Deceased Organ Donors,2018,District of Columbia,DC,Liver,25.0
Deceased Organ Donors,2018,District of Columbia,DC,Lung,
Deceased Organ Donors,2018,District of Columbia,DC,Pancreas,
Deceased Organ Donors,2018,Florida,FL,All,706.0
Deceased Organ Donors,2018,Florida,FL,Heart,224.0
Deceased Organ Donors,2018,Florida,FL,Kidney,640.0
Deceased Organ Donors,2018,Florida,FL,Liver,569.0
Deceased Organ Donors,2018,Florida,FL,Lung,164.0
Deceased Organ Donors,2018,Florida,FL,Pancreas,90.0
Deceased Organ Donors,2018,Foreign Country,,All,
Deceased Organ Donors,2018,Foreign Country,,Heart,0.0
Deceased Organ Donors,2018,Foreign Country,,Kidney,
Deceased Organ Donors,2018,Foreign Country,,Liver,
Deceased Organ Donors,2018,Foreign Country,,Lung,
Deceased Organ Donors,2018,Foreign Country,,Pancreas,0.0
Deceased Organ Donors,2018,Georgia,GA,All,300.0
Deceased Organ Donors,2018,Georgia,GA,Heart,105.0
Deceased Organ Donors,2018,Georgia,GA,Kidney,264.0
Deceased Organ Donors,2018,Georgia,GA,Liver,256.0
Deceased Organ Donors,2018,Georgia,GA,Lung,64.0
Deceased Organ Donors,2018,Georgia,GA,Pancreas,31.0
Deceased Organ Donors,2018,Hawaii,HI,All,43.0
Deceased Organ Donors,2018,Hawaii,HI,Heart,
Deceased Organ Donors,2018,Hawaii,HI,Kidney,43.0
Deceased Organ Donors,2018,Hawaii,HI,Liver,29.0
Deceased Organ Donors,2018,Hawaii,HI,Lung,
Deceased Organ Donors,2018,Hawaii,HI,Pancreas,
Deceased Organ Donors,2018,Idaho,ID,All,52.0
Deceased Organ Donors,2018,Idaho,ID,Heart,16.0
Deceased Organ Donors,2018,Idaho,ID,Kidney,49.0
Deceased Organ Donors,2018,Idaho,ID,Liver,37.0
Deceased Organ Donors,2018,Idaho,ID,Lung,
Deceased Organ Donors,2018,Idaho,ID,Pancreas,
Deceased Organ Donors,2018,Illinois,IL,All,486.0
Deceased Organ Donors,2018,Illinois,IL,Heart,126.0
Deceased Organ Donors,2018,Illinois,IL,Kidney,430.0
Deceased Organ Donors,2018,Illinois,IL,Liver,378.0
Deceased Organ Donors,2018,Illinois,IL,Lung,106.0
Deceased Organ Donors,2018,Illinois,IL,Pancreas,69.0
Deceased Organ Donors,2018,Indiana,IN,All,219.0
Deceased Organ Donors,2018,Indiana,IN,Heart,75.0
Deceased Organ Donors,2018,Indiana,IN,Kidney,208.0
Deceased Organ Donors,2018,Indiana,IN,Liver,195.0
Deceased Organ Donors,2018,Indiana,IN,Lung,58.0
Deceased Organ Donors,2018,Indiana,IN,Pancreas,34.0
Deceased Organ Donors,2018,Iowa,IA,All,86.0
Deceased Organ Donors,2018,Iowa,IA,Heart,30.0
Deceased Organ Donors,2018,Iowa,IA,Kidney,78.0
Deceased Organ Donors,2018,Iowa,IA,Liver,65.0
Deceased Organ Donors,2018,Iowa,IA,Lung,23.0
Deceased Organ Donors,2018,Iowa,IA,Pancreas,
Deceased Organ Donors,2018,Kansas,KS,All,116.0
Deceased Organ Donors,2018,Kansas,KS,Heart,40.0
Deceased Organ Donors,2018,Kansas,KS,Kidney,110.0
Deceased Organ Donors,2018,Kansas,KS,Liver,88.0
Deceased Organ Donors,2018,Kansas,KS,Lung,31.0
Deceased Organ Donors,2018,Kansas,KS,Pancreas,24.0
Deceased Organ Donors,2018,Kentucky,KY,All,152.0
Deceased Organ Donors,2018,Kentucky,KY,Heart,58.0
Deceased Organ Donors,2018,Kentucky,KY,Kidney,148.0
Deceased Organ Donors,2018,Kentucky,KY,Liver,122.0
Deceased Organ Donors,2018,Kentucky,KY,Lung,29.0
Deceased Organ Donors,2018,Kentucky,KY,Pancreas,22.0
Deceased Organ Donors,2018,Louisiana,LA,All,190.0
Deceased Organ Donors,2018,Louisiana,LA,Heart,67.0
