Statistics,Year,State of Residence Name,State of Residence Code,Organ,Counts
Deceased Organ Donors,2017,Colorado,CO,Liver,92
Deceased Organ Donors,2017,Colorado,CO,Lung,
Deceased Organ Donors,2017,Colorado,CO,Pancreas,
Deceased Organ Donors,2017,Connecticut,CT,All,85
Deceased Organ Donors,2017,Connecticut,CT,Heart,27
Deceased Organ Donors,2017,Connecticut,CT,Kidney,80
Deceased Organ Donors,2017,Connecticut,CT,Liver,69
Deceased Organ Donors,2017,Connecticut,CT,Lung,23
Deceased Organ Donors,2017,Connecticut,CT,Pancreas,
Deceased Organ Donors,2017,Delaware,DE,All,64
Deceased Organ Donors,2017,Delaware,DE,Heart,18
Deceased Organ Donors,2017,Delaware,DE,Kidney,60
Deceased Organ Donors,2017,Delaware,DE,Liver,52
Deceased Organ Donors,2017,Delaware,DE,Lung,
Deceased Organ Donors,2017,Delaware,DE,Pancreas,
Deceased Organ Donors,2017,District of Columbia,DC,All,17
Deceased Organ Donors,2017,District of Columbia,DC,Heart,
Deceased Organ Donors,2017,District of Columbia,DC,Kidney,
Deceased Organ Donors,2017,District of Columbia,DC,Liver,16
Deceased Organ Donors,2017,District of Columbia,DC,Lung,
Deceased Organ Donors,2017,District of Columbia,DC,Pancreas,
Deceased Organ Donors,2017,Florida,FL,All,680
Deceased Organ Donors,2017,Florida,FL,Heart,207
Deceased Organ Donors,2017,Florida,FL,Kidney,619
Deceased Organ Donors,2017,Florida,FL,Liver,545
Deceased Organ Donors,2017,Florida,FL,Lung,142
Deceased Organ Donors,2017,Florida,FL,Pancreas,87
Deceased Organ Donors,2017,Foreign Country,NA,All,
Deceased Organ Donors,2017,Foreign Country,NA,Heart,
Deceased Organ Donors,2017,Foreign Country,NA,Kidney,
Deceased Organ Donors,2017,Foreign Country,NA,Liver,
Deceased Organ Donors,2017,Foreign Country,NA,Lung,0
Deceased Organ Donors,2017,Foreign Country,NA,Pancreas,0
Deceased Organ Donors,2017,Georgia,GA,All,288
Deceased Organ Donors,2017,Georgia,GA,Heart,103
Deceased Organ Donors,2017,Georgia,GA,Kidney,240
Deceased Organ Donors,2017,Georgia,GA,Liver,254
Deceased Organ Donors,2017,Georgia,GA,Lung,70
Deceased Organ Donors,2017,Georgia,GA,Pancreas,22
Deceased Organ Donors,2017,Hawaii,HI,All,34
Deceased Organ Donors,2017,Hawaii,HI,Heart,0
Deceased Organ Donors,2017,Hawaii,HI,Kidney,32
Deceased Organ Donors,2017,Hawaii,HI,Liver,24
Deceased Organ Donors,2017,Hawaii,HI,Lung,
Deceased Organ Donors,2017,Hawaii,HI,Pancreas,
Deceased Organ Donors,2017,Idaho,ID,All,53
Deceased Organ Donors,2017,Idaho,ID,Heart,21
Deceased Organ Donors,2017,Idaho,ID,Kidney,52
Deceased Organ Donors,2017,Idaho,ID,Liver,42
Deceased Organ Donors,2017,Idaho,ID,Lung,
Deceased Organ Donors,2017,Idaho,ID,Pancreas,
Deceased Organ Donors,2017,Illinois,IL,All,444
Deceased Organ Donors,2017,Illinois,IL,Heart,128
Deceased Organ Donors,2017,Illinois,IL,Kidney,394
Deceased Organ Donors,2017,Illinois,IL,Liver,350
Deceased Organ Donors,2017,Illinois,IL,Lung,126
Deceased Organ Donors,2017,Illinois,IL,Pancreas,66
Deceased Organ Donors,2017,Indiana,IN,All,198
Deceased Organ Donors,2017,Indiana,IN,Heart,93
Deceased Organ Donors,2017,Indiana,IN,Kidney,180
Deceased Organ Donors,2017,Indiana,IN,Liver,184
Deceased Organ Donors,2017,Indiana,IN,Lung,62
Deceased Organ Donors,2017,Indiana,IN,Pancreas,49
Deceased Organ Donors,2017,Iowa,IA,All,74
Deceased Organ Donors,2017,Iowa,IA,Heart,27
Deceased Organ Donors,2017,Iowa,IA,Kidney,68
Deceased Organ Donors,2017,Iowa,IA,Liver,57
Deceased Organ Donors,2017,Iowa,IA,Lung,
Deceased Organ Donors,2017,Iowa,IA,Pancreas,
Deceased Organ Donors,2017,Kansas,KS,All,130
Deceased Organ Donors,2017,Kansas,KS,Heart,44
Deceased Organ Donors,2017,Kansas,KS,Kidney,122
Deceased Organ Donors,2017,Kansas,KS,Liver,96
Deceased Organ Donors,2017,Kansas,KS,Lung,29
Deceased Organ Donors,2017,Kansas,KS,Pancreas,25
Deceased Organ Donors,2017,Kentucky,KY,All,117
Deceased Organ Donors,2017,Kentucky,KY,Heart,46
Deceased Organ Donors,2017,Kentucky,KY,Kidney,115
Deceased Organ Donors,2017,Kentucky,KY,Liver,104
Deceased Organ Donors,2017,Kentucky,KY,Lung,25
Deceased Organ Donors,2017,Kentucky,KY,Pancreas,
Deceased Organ Donors,2017,Louisiana,LA,All,183
Deceased Organ Donors,2017,Louisiana,LA,Heart,70
Deceased Organ Donors,2017,Louisiana,LA,Kidney,163
Deceased Organ Donors,2017,Louisiana,LA,Liver,180
Deceased Organ Donors,2017,Louisiana,LA,Lung,50
Deceased Organ Donors,2017,Louisiana,LA,Pancreas,40
Deceased Organ Donors,2017,Maine,ME,All,37
Deceased Organ Donors,2017,Maine,ME,Heart,
Deceased Organ Donors,2017,Maine,ME,Kidney,35
Deceased Organ Donors,2017,Maine,ME,Liver,30
Deceased Organ Donors,2017,Maine,ME,Lung,
Deceased Organ Donors,2017,Maine,ME,Pancreas,
Deceased Organ Donors,2017,Maryland,MD,All,217
Deceased Organ Donors,2017,Maryland,MD,Heart,75
Deceased Organ Donors,2017,Maryland,MD,Kidney,197
Deceased Organ Donors,2017,Maryland,MD,Liver,190
Deceased Organ Donors,2017,Maryland,MD,Lung,65
Deceased Organ Donors,2017,Maryland,MD,Pancreas,40
Deceased Organ Donors,2017,Massachusetts,MA,All,181
Deceased Organ Donors,2017,Massachusetts,MA,Heart,59
Deceased Organ Donors,2017,Massachusetts,MA,Kidney,167
Deceased Organ Donors,2017,Massachusetts,MA,Liver,132
Deceased Organ Donors,2017,Massachusetts,MA,Lung,42
Deceased Organ Donors,2017,Massachusetts,MA,Pancreas,
Deceased Organ Donors,2017,Michigan,MI,All,340
Deceased Organ Donors,2017,Michigan,MI,Heart,87
Deceased Organ Donors,2017,Michigan,MI,Kidney,311
Deceased Organ Donors,2017,Michigan,MI,Liver,256
Deceased Organ Donors,2017,Michigan,MI,Lung,75
Deceased Organ Donors,2017,Michigan,MI,Pancreas,38
Deceased Organ Donors,2017,Minnesota,MN,All,126
Deceased Organ Donors,2017,Minnesota,MN,Heart,34
Deceased Organ Donors,2017,Minnesota,MN,Kidney,117
Deceased Organ Donors,2017,Minnesota,MN,Liver,96
Deceased Organ Donors,2017,Minnesota,MN,Lung,21
Deceased Organ Donors,2017,Minnesota,MN,Pancreas,21
Deceased Organ Donors,2017,Mississippi,MS,All,110
Deceased Organ Donors,2017,Mississippi,MS,Heart,50
Deceased Organ Donors,2017,Mississippi,MS,Kidney,98
Deceased Organ Donors,2017,Mississippi,MS,Liver,93
Deceased Organ Donors,2017,Mississippi,MS,Lung,21
Deceased Organ Donors,2017,Mississippi,MS,Pancreas,16
Deceased Organ Donors,2017,Missouri,MO,All,283
Deceased Organ Donors,2017,Missouri,MO,Heart,93
Deceased Organ Donors,2017,Missouri,MO,Kidney,254
Deceased Organ Donors,2017,Missouri,MO,Liver,225
Deceased Organ Donors,2017,Missouri,MO,Lung,95
Deceased Organ Donors,2017,Missouri,MO,Pancreas,42
Deceased Organ Donors,2017,Montana,MT,All,25
Deceased Organ Donors,2017,Montana,MT,Heart,
Deceased Organ Donors,2017,Montana,MT,Kidney,24
Deceased Organ Donors,2017,Montana,MT,Liver,23
Deceased Organ Donors,2017,Montana,MT,Lung,
Deceased Organ Donors,2017,Montana,MT,Pancreas,
Deceased Organ Donors,2017,Nebraska,NE,All,58
Deceased Organ Donors,2017,Nebraska,NE,Heart,28
Deceased Organ Donors,2017,Nebraska,NE,Kidney,56
Deceased Organ Donors,2017,Nebraska,NE,Liver,46
Deceased Organ Donors,2017,Nebraska,NE,Lung,22
Deceased Organ Donors,2017,Nebraska,NE,Pancreas,
Deceased Organ Donors,2017,Nevada,NV,All,143
Deceased Organ Donors,2017,Nevada,NV,Heart,40
Deceased Organ Donors,2017,Nevada,NV,Kidney,127
Deceased Organ Donors,2017,Nevada,NV,Liver,123
Deceased Organ Donors,2017,Nevada,NV,Lung,30
Deceased Organ Donors,2017,Nevada,NV,Pancreas,
Deceased Organ Donors,2017,New Hampshire,NH,All,29
Deceased Organ Donors,2017,New Hampshire,NH,Heart,
Deceased Organ Donors,2017,New Hampshire,NH,Kidney,29
Deceased Organ Donors,2017,New Hampshire,NH,Liver,23
Deceased Organ Donors,2017,New Hampshire,NH,Lung,
Deceased Organ Donors,2017,New Hampshire,NH,Pancreas,
Deceased Organ Donors,2017,New Jersey,NJ,All,272
Deceased Organ Donors,2017,New Jersey,NJ,Heart,95
Deceased Organ Donors,2017,New Jersey,NJ,Kidney,252
Deceased Organ Donors,2017,New Jersey,NJ,Liver,202
Deceased Organ Donors,2017,New Jersey,NJ,Lung,49
Deceased Organ Donors,2017,New Jersey,NJ,Pancreas,37
Deceased Organ Donors,2017,New Mexico,NM,All,73
Deceased Organ Donors,2017,New Mexico,NM,Heart,23
Deceased Organ Donors,2017,New Mexico,NM,Kidney,70
Deceased Organ Donors,2017,New Mexico,NM,Liver,57
Deceased Organ Donors,2017,New Mexico,NM,Lung,
Deceased Organ Donors,2017,New Mexico,NM,Pancreas,
Deceased Organ Donors,2017,New York,NY,All,444
Deceased Organ Donors,2017,New York,NY,Heart,128
Deceased Organ Donors,2017,New York,NY,Kidney,397
Deceased Organ Donors,2017,New York,NY,Liver,341
Deceased Organ Donors,2017,New York,NY,Lung,62
Deceased Organ Donors,2017,New York,NY,Pancreas,44
Deceased Organ Donors,2017,North Carolina,NC,All,308
Deceased Organ Donors,2017,North Carolina,NC,Heart,105
Deceased Organ Donors,2017,North Carolina,NC,Kidney,281
Deceased Organ Donors,2017,North Carolina,NC,Liver,250
Deceased Organ Donors,2017,North Carolina,NC,Lung,84
Deceased Organ Donors,2017,North Carolina,NC,Pancreas,49
Deceased Organ Donors,2017,North Dakota,ND,All,18
Deceased Organ Donors,2017,North Dakota,ND,Heart,
Deceased Organ Donors,2017,North Dakota,ND,Kidney,18
Deceased Organ Donors,2017,North Dakota,ND,Liver,
Deceased Organ Donors,2017,North Dakota,ND,Lung,
Deceased Organ Donors,2017,North Dakota,ND,Pancreas,
Deceased Organ Donors,2017,Not Reported,NR,All,54
Deceased Organ Donors,2017,Not Reported,NR,Heart,19
Deceased Organ Donors,2017,Not Reported,NR,Kidney,50
Deceased Organ Donors,2017,Not Reported,NR,Liver,39
Deceased Organ Donors,2017,Not Reported,NR,Lung,
Deceased Organ Donors,2017,Not Reported,NR,Pancreas,
Deceased Organ Donors,2017,Ohio,OH,All,404
Deceased Organ Donors,2017,Ohio,OH,Heart,113
Deceased Organ Donors,2017,Ohio,OH,Kidney,348
Deceased Organ Donors,2017,Ohio,OH,Liver,357
Deceased Organ Donors,2017,Ohio,OH,Lung,99
Deceased Organ Donors,2017,Ohio,OH,Pancreas,51
Deceased Organ Donors,2017,Oklahoma,OK,All,189
Deceased Organ Donors,2017,Oklahoma,OK,Heart,42
Deceased Organ Donors,2017,Oklahoma,OK,Kidney,184
Deceased Organ Donors,2017,Oklahoma,OK,Liver,140
Deceased Organ Donors,2017,Oklahoma,OK,Lung,34
Deceased Organ Donors,2017,Oklahoma,OK,Pancreas,23
Deceased Organ Donors,2017,Oregon,OR,All,85
Deceased Organ Donors,2017,Oregon,OR,Heart,21
Deceased Organ Donors,2017,Oregon,OR,Kidney,81
Deceased Organ Donors,2017,Oregon,OR,Liver,53
Deceased Organ Donors,2017,Oregon,OR,Lung,
Deceased Organ Donors,2017,Oregon,OR,Pancreas,
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,All,0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Heart,0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Kidney,0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Liver,0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Lung,0
Deceased Organ Donors,2017,Pacific Ocean Territories,PO,Pancreas,0
Deceased Organ Donors,2017,Pennsylvania,PA,All,595
Deceased Organ Donors,2017,Pennsylvania,PA,Heart,164
Deceased Organ Donors,2017,Pennsylvania,PA,Kidney,532
Deceased Organ Donors,2017,Pennsylvania,PA,Liver,494
Deceased Organ Donors,2017,Pennsylvania,PA,Lung,136
Deceased Organ Donors,2017,Pennsylvania,PA,Pancreas,75
Deceased Organ Donors,2017,Puerto Rico,PR,All,85
Deceased Organ Donors,2017,Puerto Rico,PR,Heart,
Deceased Organ Donors,2017,Puerto Rico,PR,Kidney,67
Deceased Organ Donors,2017,Puerto Rico,PR,Liver,71
Deceased Organ Donors,2017,Puerto Rico,PR,Lung,
Deceased Organ Donors,2017,Puerto Rico,PR,Pancreas,
Deceased Organ Donors,2017,Rhode Island,RI,All,17
Deceased Organ Donors,2017,Rhode Island,RI,Heart,
Deceased Organ Donors,2017,Rhode Island,RI,Kidney,
Deceased Organ Donors,2017,Rhode Island,RI,Liver,
Deceased Organ Donors,2017,Rhode Island,RI,Lung,0
Deceased Organ Donors,2017,Rhode Island,RI,Pancreas,
Deceased Organ Donors,2017,South Carolina,SC,All,176
Deceased Organ Donors,2017,South Carolina,SC,Heart,65
Deceased Organ Donors,2017,South Carolina,SC,Kidney,161
Deceased Organ Donors,2017,South Carolina,SC,Liver,145
Deceased Organ Donors,2017,South Carolina,SC,Lung,51
Deceased Organ Donors,2017,South Carolina,SC,Pancreas,18
Deceased Organ Donors,2017,South Dakota,SD,All,24
Deceased Organ Donors,2017,South Dakota,SD,Heart,
Deceased Organ Donors,2017,South Dakota,SD,Kidney,23
Deceased Organ Donors,2017,South Dakota,SD,Liver,23
Deceased Organ Donors,2017,South Dakota,SD,Lung,
Deceased Organ Donors,2017,South Dakota,SD,Pancreas,
Deceased Organ Donors,2017,Tennessee,TN,All,281
Deceased Organ Donors,2017,Tennessee,TN,Heart,103
Deceased Organ Donors,2017,Tennessee,TN,Kidney,259
Deceased Organ Donors,2017,Tennessee,TN,Liver,239
Deceased Organ Donors,2017,Tennessee,TN,Lung,68
Deceased Organ Donors,2017,Tennessee,TN,Pancreas,36
Deceased Organ Donors,2017,Texas,TX,All,897
Deceased Organ Donors,2017,Texas,TX,Heart,310
Deceased Organ Donors,2017,Texas,TX,Kidney,809
Deceased Organ Donors,2017,Texas,TX,Liver,731
Deceased Organ Donors,2017,Texas,TX,Lung,279
Deceased Organ Donors,2017,Texas,TX,Pancreas,116
Deceased Organ Donors,2017,Utah,UT,All,82
Deceased Organ Donors,2017,Utah,UT,Heart,32
Deceased Organ Donors,2017,Utah,UT,Kidney,78
Deceased Organ Donors,2017,Utah,UT,Liver,64
Deceased Organ Donors,2017,Utah,UT,Lung,22
Deceased Organ Donors,2017,Utah,UT,Pancreas,
Deceased Organ Donors,2017,Vermont,VT,All,24
Deceased Organ Donors,2017,Vermont,VT,Heart,
Deceased Organ Donors,2017,Vermont,VT,Kidney,23
Deceased Organ Donors,2017,Vermont,VT,Liver,17
Deceased Organ Donors,2017,Vermont,VT,Lung,
Deceased Organ Donors,2017,Vermont,VT,Pancreas,
Deceased Organ Donors,2017,Virgin Islands,VI,All,0
Deceased Organ Donors,2017,Virgin Islands,VI,Heart,0
Deceased Organ Donors,2017,Virgin Islands,VI,Kidney,0
Deceased Organ Donors,2017,Virgin Islands,VI,Liver,0
Deceased Organ Donors,2017,Virgin Islands,VI,Lung,0
Deceased Organ Donors,2017,Virgin Islands,VI,Pancreas,0
Deceased Organ Donors,2017,Virginia,VA,All,212
Deceased Organ Donors,2017,Virginia,VA,Heart,64
Deceased Organ Donors,2017,Virginia,VA,Kidney,201
Deceased Organ Donors,2017,Virginia,VA,Liver,171
Deceased Organ Donors,2017,Virginia,VA,Lung,55
Deceased Organ Donors,2017,Virginia,VA,Pancreas,32
Deceased Organ Donors,2017,Washington,WA,All,195
Deceased Organ Donors,2017,Washington,WA,Heart,69
Deceased Organ Donors,2017,Washington,WA,Kidney,188
Deceased Organ Donors,2017,Washington,WA,Liver,135
Deceased Organ Donors,2017,Washington,WA,Lung,28
Deceased Organ Donors,2017,Washington,WA,Pancreas,
Deceased Organ Donors,2017,West Virginia,WV,All,54
Deceased Organ Donors,2017,West Virginia,WV,Heart,
Deceased Organ Donors,2017,West Virginia,WV,Kidney,50
Deceased Organ Donors,2017,West Virginia,WV,Liver,46
Deceased Organ Donors,2017,West Virginia,WV,Lung,
Deceased Organ Donors,2017,West Virginia,WV,Pancreas,
Deceased Organ Donors,2017,Wisconsin,WI,All,233
Deceased Organ Donors,2017,Wisconsin,WI,Heart,74
Deceased Organ Donors,2017,Wisconsin,WI,Kidney,209
Deceased Organ Donors,2017,Wisconsin,WI,Liver,193
Deceased Organ Donors,2017,Wisconsin,WI,Lung,58
Deceased Organ Donors,2017,Wisconsin,WI,Pancreas,44
Deceased Organ Donors,2017,Wyoming,WY,All,
Deceased Organ Donors,2017,Wyoming,WY,Heart,
Deceased Organ Donors,2017,Wyoming,WY,Kidney,
Deceased Organ Donors,2017,Wyoming,WY,Liver,
Deceased Organ Donors,2017,Wyoming,WY,Lung,
Deceased Organ Donors,2017,Wyoming,WY,Pancreas,
Deceased Organ Donors,2018,Alabama,AL,All,177
Deceased Organ Donors,2018,Alabama,AL,Heart,63
Deceased Organ Donors,2018,Alabama,AL,Kidney,162
Deceased Organ Donors,2018,Alabama,AL,Liver,155
Deceased Organ Donors,2018,Alabama,AL,Lung,38
Deceased Organ Donors,2018,Alabama,AL,Pancreas,19
Deceased Organ Donors,2018,Alaska,AK,All,31
Deceased Organ Donors,2018,Alaska,AK,Heart,
Deceased Organ Donors,2018,Alaska,AK,Kidney,30
Deceased Organ Donors,2018,Alaska,AK,Liver,25
Deceased Organ Donors,2018,Alaska,AK,Lung,
Deceased Organ Donors,2018,Alaska,AK,Pancreas,
Deceased Organ Donors,2018,All,All,All,10721
Deceased Organ Donors,2018,All,All,Heart,3466
Deceased Organ Donors,2018,All,All,Kidney,9867
Deceased Organ Donors,2018,All,All,Liver,8473
Deceased Organ Donors,2018,All,All,Lung,2543
Deceased Organ Donors,2018,All,All,Pancreas,1312
Deceased Organ Donors,2018,Arizona,AZ,All,277
Deceased Organ Donors,2018,Arizona,AZ,Heart,103
Deceased Organ Donors,2018,Arizona,AZ,Kidney,261
Deceased Organ Donors,2018,Arizona,AZ,Liver,218
Deceased Organ Donors,2018,Arizona,AZ,Lung,75
Deceased Organ Donors,2018,Arizona,AZ,Pancreas,41
Deceased Organ Donors,2018,Arkansas,AR,All,78
Deceased Organ Donors,2018,Arkansas,AR,Heart,31
Deceased Organ Donors,2018,Arkansas,AR,Kidney,72
Deceased Organ Donors,2018,Arkansas,AR,Liver,68
Deceased Organ Donors,2018,Arkansas,AR,Lung,
Deceased Organ Donors,2018,Arkansas,AR,Pancreas,
Deceased Organ Donors,2018,California,CA,All,1015
Deceased Organ Donors,2018,California,CA,Heart,342
Deceased Organ Donors,2018,California,CA,Kidney,966
Deceased Organ Donors,2018,California,CA,Liver,835
Deceased Organ Donors,2018,California,CA,Lung,239
Deceased Organ Donors,2018,California,CA,Pancreas,109
Deceased Organ Donors,2018,Colorado,CO,All,138
Deceased Organ Donors,2018,Colorado,CO,Heart,54
Deceased Organ Donors,2018,Colorado,CO,Kidney,136
Deceased Organ Donors,2018,Colorado,CO,Liver,95
Deceased Organ Donors,2018,Colorado,CO,Lung,23
Deceased Organ Donors,2018,Colorado,CO,Pancreas,
Deceased Organ Donors,2018,Connecticut,CT,All,96
Deceased Organ Donors,2018,Connecticut,CT,Heart,30
Deceased Organ Donors,2018,Connecticut,CT,Kidney,83
Deceased Organ Donors,2018,Connecticut,CT,Liver,67
Deceased Organ Donors,2018,Connecticut,CT,Lung,21
Deceased Organ Donors,2018,Connecticut,CT,Pancreas,
Deceased Organ Donors,2018,Delaware,DE,All,72
Deceased Organ Donors,2018,Delaware,DE,Heart,19
Deceased Organ Donors,2018,Delaware,DE,Kidney,69
Deceased Organ Donors,2018,Delaware,DE,Liver,53
Deceased Organ Donors,2018,Delaware,DE,Lung,18
Deceased Organ Donors,2018,Delaware,DE,Pancreas,
Deceased Organ Donors,2018,District of Columbia,DC,All,26
Deceased Organ Donors,2018,District of Columbia,DC,Heart,
Deceased Organ Donors,2018,District of Columbia,DC,Kidney,22
Deceased Organ Donors,2018,District of Columbia,DC,Liver,25
Deceased Organ Donors,2018,District of Columbia,DC,Lung,
Deceased Organ Donors,2018,District of Columbia,DC,Pancreas,
Deceased Organ Donors,2018,Florida,FL,All,706
Deceased Organ Donors,2018,Florida,FL,Heart,224
Deceased Organ Donors,2018,Florida,FL,Kidney,640
Deceased Organ Donors,2018,Florida,FL,Liver,569
Deceased Organ Donors,2018,Florida,FL,Lung,164
Deceased Organ Donors,2018,Florida,FL,Pancreas,90
Deceased Organ Donors,2018,Foreign Country,NA,All,
Deceased Organ Donors,2018,Foreign Country,NA,Heart,0
Deceased Organ Donors,2018,Foreign Country,NA,Kidney,
Deceased Organ Donors,2018,Foreign Country,NA,Liver,
Deceased Organ Donors,2018,Foreign Country,NA,Lung,
Deceased Organ Donors,2018,Foreign Country,NA,Pancreas,0
Deceased Organ Donors,2018,Georgia,GA,All,300
Deceased Organ Donors,2018,Georgia,GA,Heart,105
Deceased Organ Donors,2018,Georgia,GA,Kidney,264
Deceased Organ Donors,2018,Georgia,GA,Liver,256
Deceased Organ Donors,2018,Georgia,GA,Lung,64
Deceased Organ Donors,2018,Georgia,GA,Pancreas,31
Deceased Organ Donors,2018,Hawaii,HI,All,43
Deceased Organ Donors,2018,Hawaii,HI,Heart,
Deceased Organ Donors,2018,Hawaii,HI,Kidney,43
Deceased Organ Donors,2018,Hawaii,HI,Liver,29
Deceased Organ Donors,2018,Hawaii,HI,Lung,
Deceased Organ Donors,2018,Hawaii,HI,Pancreas,
Deceased Organ Donors,2018,Idaho,ID,All,52
Deceased Organ Donors,2018,Idaho,ID,Heart,16
Deceased Organ Donors,2018,Idaho,ID,Kidney,49
Deceased Organ Donors,2018,Idaho,ID,Liver,37
Deceased Organ Donors,2018,Idaho,ID,Lung,
Deceased Organ Donors,2018,Idaho,ID,Pancreas,
Deceased Organ Donors,2018,Illinois,IL,All,486
Deceased Organ Donors,2018,Illinois,IL,Heart,126
Deceased Organ Donors,2018,Illinois,IL,Kidney,430
Deceased Organ Donors,2018,Illinois,IL,Liver,378
Deceased Organ Donors,2018,Illinois,IL,Lung,106
Deceased Organ Donors,2018,Illinois,IL,Pancreas,69
Deceased Organ Donors,2018,Indiana,IN,All,219
Deceased Organ Donors,2018,Indiana,IN,Heart,75
Deceased Organ Donors,2018,Indiana,IN,Kidney,208
Deceased Organ Donors,2018,Indiana,IN,Liver,195
Deceased Organ Donors,2018,Indiana,IN,Lung,58
Deceased Organ Donors,2018,Indiana,IN,Pancreas,34
Deceased Organ Donors,2018,Iowa,IA,All,86
Deceased Organ Donors,2018,Iowa,IA,Heart,30
Deceased Organ Donors,2018,Iowa,IA,Kidney,78
Deceased Organ Donors,2018,Iowa,IA,Liver,65
Deceased Organ Donors,2018,Iowa,IA,Lung,23
Deceased Organ Donors,2018,Iowa,IA,Pancreas,
Deceased Organ Donors,2018,Kansas,KS,All,116
Deceased Organ Donors,2018,Kansas,KS,Heart,40
Deceased Organ Donors,2018,Kansas,KS,Kidney,110
Deceased Organ Donors,2018,Kansas,KS,Liver,88
Deceased Organ Donors,2018,Kansas,KS,Lung,31
Deceased Organ Donors,2018,Kansas,KS,Pancreas,24
Deceased Organ Donors,2018,Kentucky,KY,All,152
Deceased Organ Donors,2018,Kentucky,KY,Heart,58
Deceased Organ Donors,2018,Kentucky,KY,Kidney,148
Deceased Organ Donors,2018,Kentucky,KY,Liver,122
Deceased Organ Donors,2018,Kentucky,KY,Lung,29
Deceased Organ Donors,2018,Kentucky,KY,Pancreas,22
Deceased Organ Donors,2018,Louisiana,LA,All,190
Deceased Organ Donors,2018,Louisiana,LA,Heart,67
Deceased Organ Donors,2018,Louisiana,LA,Kidney,162
Deceased Organ Donors,2018,Louisiana,LA,Liver,177
Deceased Organ Donors,2018,Louisiana,LA,Lung,43
Deceased Organ Donors,2018,Louisiana,LA,Pancreas,29
Deceased Organ Donors,2018,Maine,ME,All,41
Deceased Organ Donors,2018,Maine,ME,Heart,
Deceased Organ Donors,2018,Maine,ME,Kidney,37
Deceased Organ Donors,2018,Maine,ME,Liver,28
Deceased Organ Donors,2018,Maine,ME,Lung,
Deceased Organ Donors,2018,Maine,ME,Pancreas,
Deceased Organ Donors,2018,Maryland,MD,All,208
Deceased Organ Donors,2018,Maryland,MD,Heart,67
Deceased Organ Donors,2018,Maryland,MD,Kidney,191
Deceased Organ Donors,2018,Maryland,MD,Liver,171
Deceased Organ Donors,2018,Maryland,MD,Lung,73
Deceased Organ Donors,2018,Maryland,MD,Pancreas,43
Deceased Organ Donors,2018,Massachusetts,MA,All,199
Deceased Organ Donors,2018,Massachusetts,MA,Heart,72
Deceased Organ Donors,2018,Massachusetts,MA,Kidney,186
Deceased Organ Donors,2018,Massachusetts,MA,Liver,149
Deceased Organ Donors,2018,Massachusetts,MA,Lung,40
Deceased Organ Donors,2018,Massachusetts,MA,Pancreas,
Deceased Organ Donors,2018,Michigan,MI,All,364
Deceased Organ Donors,2018,Michigan,MI,Heart,115
Deceased Organ Donors,2018,Michigan,MI,Kidney,336
